query	qlen.bp	qtrans.aa	hit	hlen.aa
Ofaveolata260256_c0_seq1	6488	251	sp|Q16943|VP33_APLCA	260
Ofaveolata260256_c0_seq2	6592	274	sp|Q16943|VP33_APLCA	260
Ofaveolata260256_c0_seq3	4855	816	sp|O95466|FMNL1_HUMAN	1100
Ofaveolata260256_c0_seq4	4745	816	sp|O95466|FMNL1_HUMAN	1100
Ofaveolata260256_c0_seq5	6557	274	sp|Q16943|VP33_APLCA	260
Ofaveolata260256_c0_seq6	6523	251	sp|Q16943|VP33_APLCA	260
Ofaveolata260257_c0_seq1	753	166	sp|O95801|TTC4_HUMAN	387
Ofaveolata260257_c0_seq2	843	280	sp|Q96AY4|TTC28_HUMAN	2481
Ofaveolata260257_c0_seq4	3207	995	sp|Q96AY4|TTC28_HUMAN	2481
Ofaveolata260257_c0_seq5	3401	995	sp|Q96AY4|TTC28_HUMAN	2481
Ofaveolata260257_c0_seq6	788	140	sp|Q8R3H9|TTC4_MOUSE	386
Ofaveolata260257_c0_seq7	1931	568	sp|Q96AY4|TTC28_HUMAN	2481
Ofaveolata260257_c0_seq8	595	98	sp|O95801|TTC4_HUMAN	387
Ofaveolata260257_c0_seq9	2157	568	sp|Q96AY4|TTC28_HUMAN	2481
Ofaveolata260257_c0_seq10	401	100	sp|O95801|TTC4_HUMAN	387
Ofaveolata260257_c0_seq11	2081	552	sp|P81274|GPSM2_HUMAN	684
Ofaveolata260257_c0_seq12	2178	552	sp|P81274|GPSM2_HUMAN	684
Ofaveolata260260_c0_seq1	2668	287	sp|Q96PQ7|KLHL5_HUMAN	755
Ofaveolata260261_c1_seq2	245	27	sp|Q9NRY6|PLS3_HUMAN	295
Ofaveolata260262_c0_seq1	3250	431	sp|P26221|GUN4_THEFU	880
Ofaveolata260263_c0_seq1	4713	1220	sp|A6QLC7|TPC11_BOVIN	1133
Ofaveolata260263_c0_seq2	4369	1105	sp|A6QLC7|TPC11_BOVIN	1133
Ofaveolata260263_c0_seq3	3285	678	sp|A6QLC7|TPC11_BOVIN	1133
Ofaveolata260263_c0_seq4	2941	563	sp|A6QLC7|TPC11_BOVIN	1133
Ofaveolata260264_c0_seq3	1712	158	sp|B3EWY9|MLP_ACRMI	1594
Ofaveolata260265_c0_seq1	2325	294	sp|Q5U3G6|YIF1B_DANRE	304
Ofaveolata260267_c0_seq1	2388	235	sp|Q5FYB0|ARSJ_HUMAN	599
Ofaveolata260267_c0_seq2	649	108	sp|Q32KH7|ARSI_CANLF	573
Ofaveolata260267_c0_seq3	1688	120	sp|Q5FYB0|ARSJ_HUMAN	599
Ofaveolata260267_c0_seq4	816	189	sp|P50429|ARSB_MOUSE	534
Ofaveolata260267_c0_seq5	1223	120	sp|Q5FYB0|ARSJ_HUMAN	599
Ofaveolata260267_c0_seq7	2853	235	sp|Q5FYB0|ARSJ_HUMAN	599
Ofaveolata260267_c0_seq8	2899	476	sp|P50429|ARSB_MOUSE	534
Ofaveolata260267_c0_seq9	675	183	sp|P33727|ARSB_FELCA	535
Ofaveolata260267_c0_seq10	2434	476	sp|P50429|ARSB_MOUSE	534
Ofaveolata260268_c0_seq1	2205	168	sp|P43352|RAD52_MOUSE	420
Ofaveolata260268_c0_seq2	250	57	sp|P43351|RAD52_HUMAN	418
Ofaveolata260268_c0_seq3	2110	187	sp|P43351|RAD52_HUMAN	418
Ofaveolata260270_c1_seq1	2755	547	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq2	3570	544	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq3	3507	513	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq4	3588	544	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq5	2554	547	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq6	2590	547	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq8	2518	547	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq9	3624	544	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq10	2737	547	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq11	2656	516	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq12	2455	516	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq13	3606	544	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq14	2536	547	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq15	3642	544	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq16	2773	547	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq17	2719	547	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq18	2791	547	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260270_c1_seq20	2572	547	sp|Q9VE46|SC5A7_DROME	614
Ofaveolata260273_c1_seq1	1466	103	sp|Q6VMQ6|MCAF1_HUMAN	1270
Ofaveolata260274_c0_seq1	329	101	sp|P14381|YTX2_XENLA	1308
Ofaveolata260274_c2_seq1	1018	131	sp|D3ZAT9|FAXC_RAT	409
Ofaveolata260274_c2_seq2	939	131	sp|D3ZAT9|FAXC_RAT	409
Ofaveolata260274_c2_seq4	894	131	sp|D3ZAT9|FAXC_RAT	409
Ofaveolata260274_c2_seq5	1008	231	sp|D3ZAT9|FAXC_RAT	409
Ofaveolata260275_c0_seq1	1075	202	sp|Q9D0U1|DTWD2_MOUSE	298
Ofaveolata260275_c0_seq2	996	212	sp|Q4R7M4|DTWD2_MACFA	298
Ofaveolata260276_c0_seq1	1804	131	sp|Q86SF2|GALT7_HUMAN	657
Ofaveolata260276_c0_seq2	1852	131	sp|Q86SF2|GALT7_HUMAN	657
Ofaveolata260277_c2_seq1	1656	523	sp|Q8K0U4|HS12A_MOUSE	675
Ofaveolata260277_c2_seq2	663	122	sp|Q96MM6|HS12B_HUMAN	686
Ofaveolata260277_c2_seq3	1487	470	sp|Q96MM6|HS12B_HUMAN	686
Ofaveolata260278_c1_seq4	1116	246	sp|U3NEE3|HNMTL_CHICK	322
Ofaveolata260278_c1_seq5	1142	246	sp|U3NEE3|HNMTL_CHICK	322
Ofaveolata260279_c0_seq1	687	57	sp|Q5IJ48|CRUM2_HUMAN	1285
Ofaveolata260279_c0_seq2	534	116	sp|B8VIU6|USOM5_ACRMI	256
Ofaveolata260279_c0_seq3	255	47	sp|B8VIU6|USOM5_ACRMI	256
Ofaveolata260279_c0_seq4	863	111	sp|B8VIU6|USOM5_ACRMI	256
Ofaveolata260279_c0_seq5	212	50	sp|B8VIU6|USOM5_ACRMI	256
Ofaveolata260284_c0_seq1	1616	499	sp|Q9JHI2|ADAT1_MOUSE	499
Ofaveolata260285_c0_seq1	1372	175	sp|Q64414|APT_DIPCP	180
Ofaveolata260285_c0_seq2	1724	437	sp|Q2TBX4|HSP13_BOVIN	471
Ofaveolata260285_c0_seq3	1245	175	sp|Q64414|APT_DIPCP	180
Ofaveolata260286_c0_seq1	2338	331	sp|C3ZQF9|QRFPR_BRAFL	380
Ofaveolata260288_c0_seq1	2768	217	sp|B4DXR9|ZN732_HUMAN	585
Ofaveolata260289_c3_seq1	1762	250	sp|Q7ZWY2|PIHD1_XENLA	297
Ofaveolata260289_c3_seq2	1780	250	sp|Q7ZWY2|PIHD1_XENLA	297
Ofaveolata260291_c2_seq1	1248	103	sp|Q9CZV2|SHLD3_MOUSE	255
Ofaveolata260291_c2_seq4	3550	314	sp|Q28927|ADRB1_SHEEP	467
Ofaveolata260291_c3_seq1	2779	532	sp|Q8CFE5|BTBD7_MOUSE	1130
Ofaveolata260292_c1_seq1	4156	762	sp|P98156|VLDLR_MOUSE	873
Ofaveolata260292_c1_seq2	4069	733	sp|P98156|VLDLR_MOUSE	873
Ofaveolata260292_c1_seq3	4170	762	sp|P98156|VLDLR_MOUSE	873
Ofaveolata260292_c1_seq5	4083	733	sp|P98156|VLDLR_MOUSE	873
Ofaveolata260293_c2_seq2	4134	653	sp|Q91286|FGFR2_PLEWA	824
Ofaveolata260293_c2_seq3	3964	653	sp|Q91286|FGFR2_PLEWA	824
Ofaveolata260298_c0_seq1	1825	260	sp|Q9M9E8|FB92_ARATH	943
Ofaveolata260298_c0_seq2	2917	415	sp|Q9YH64|CP1A1_PLAFE	521
Ofaveolata260298_c0_seq3	2504	473	sp|O42430|CP1A1_LIMLI	521
Ofaveolata260298_c0_seq4	2366	463	sp|O42457|CP1A1_SPAAU	521
Ofaveolata260298_c0_seq5	2339	260	sp|Q9M9E8|FB92_ARATH	943
Ofaveolata260298_c0_seq6	2538	499	sp|Q92109|CP1A3_ONCMY	522
Ofaveolata260298_c0_seq7	1857	245	sp|Q9M9E8|FB92_ARATH	943
